page,base,target,last_price,volume_usd,bid_ask_spread,trust_score,market,coin_id,target_coin_id,trading_pair,Volume,liquidity_score,trust_grade
1,thBILL,USDC,1.0020656218,852550.0,0.603356,green,Uniswap V3 (Ethereum),theo-short-duration-us-treasury-fund,usd-coin,thBILL/USDC,"$852,550",0.36,D
1,ENS,WETH,0.00569250605,811434.0,0.602782,green,Uniswap V3 (Ethereum),ethereum-name-service,weth,ENS/WETH,"$811,434",0.34,D
1,PYUSD,USDC,0.9996860833,818686.0,0.60378,green,Uniswap V3 (Ethereum),paypal-usd,usd-coin,PYUSD/USDC,"$818,686",0.34,D
1,GHO,USDC,0.9985902072,769338.0,0.603292,green,Uniswap V3 (Ethereum),gho,usd-coin,GHO/USDC,"$769,338",0.32,D
1,USDC,SPK,13.9654552827,759605.0,0.603001,green,Uniswap V3 (Ethereum),usd-coin,spark-2,USDC/SPK,"$759,605",0.32,D
1,SKY,MKR,4.16712664e-05,762810.0,0.603839,green,Uniswap V3 (Ethereum),sky,maker,SKY/MKR,"$762,810",0.32,D
1,HAIR,BIO,403.7468406674,705914.0,0.602874,green,Uniswap V3 (Ethereum),hairdao,bio-protocol,HAIR/BIO,"$705,914",0.3,D
1,EMP,WETH,0.02412132329,687271.0,0.602886,green,Uniswap V3 (Ethereum),empyreal,weth,EMP/WETH,"$687,271",0.29,D
1,UNI,USDT,11.1403279769,659538.0,0.602804,green,Uniswap V3 (Ethereum),uniswap,tether,UNI/USDT,"$659,538",0.28,D
1,cmETH,meth,0.9996766685,638072.0,0.602794,green,Uniswap V3 (Ethereum),mantle-restaked-eth,mantle-staked-ether,cmETH/meth,"$638,072",0.27,D
1,SPX,WETH,0.0003021627429,635767.0,0.60294,green,Uniswap V3 (Ethereum),spx6900,weth,SPX/WETH,"$635,767",0.27,D
1,xaut,USDT,3372.9473505801,610297.0,0.602855,green,Uniswap V3 (Ethereum),tether-gold,tether,xaut/USDT,"$610,297",0.26,D
1,VITA,WETH,0.0004296330721,622136.0,0.60325,green,Uniswap V3 (Ethereum),vitadao,weth,VITA/WETH,"$622,136",0.26,D
1,CPOOL,USDC,0.1944662911,613569.0,0.603439,green,Uniswap V3 (Ethereum),clearpool,usd-coin,CPOOL/USDC,"$613,569",0.26,D
1,USDC,aevo,9.7745665709,574759.0,0.602915,green,Uniswap V3 (Ethereum),usd-coin,aevo-exchange,USDC/aevo,"$574,759",0.24,D
1,EUL,WETH,0.002235865329,529739.0,0.602751,green,Uniswap V3 (Ethereum),euler,weth,EUL/WETH,"$529,739",0.22,D
1,VITA,BIO,8.7581290197,515020.0,0.602891,green,Uniswap V3 (Ethereum),vitadao,bio-protocol,VITA/BIO,"$515,020",0.22,D
1,RLB,WETH,1.25939142e-05,516512.0,0.602937,green,Uniswap V3 (Ethereum),rollbit-coin,weth,RLB/WETH,"$516,512",0.22,D
1,HAIR,WETH,0.02053495962,510997.0,0.602999,green,Uniswap V3 (Ethereum),hairdao,weth,HAIR/WETH,"$510,997",0.22,D
1,xaut,WBTC,0.02908367287,457704.0,0.602773,green,Uniswap V3 (Ethereum),tether-gold,wrapped-bitcoin,xaut/WBTC,"$457,704",0.19,D
1,PYUSD,USDT,0.9999684537,469364.0,0.611944,green,Uniswap V3 (Ethereum),paypal-usd,tether,PYUSD/USDT,"$469,364",0.2,D
1,0X40E3D1...,WETH,1.760875292e-05,330449.0,0.602792,green,Uniswap V3 (Ethereum),openserv,weth,0X40E3D1.../WETH,"$330,449",0.14,D
1,cyber,USDC,2.3065480209,375434.0,0.604179,green,Uniswap V3 (Ethereum),cyberconnect,usd-coin,cyber/USDC,"$375,434",0.16,D
1,QNT,WETH,0.02309037817,364190.0,0.603136,green,Uniswap V3 (Ethereum),quant-network,weth,QNT/WETH,"$364,190",0.15,D
1,UNI,USDC,11.1390696221,354081.0,0.603448,green,Uniswap V3 (Ethereum),uniswap,usd-coin,UNI/USDC,"$354,081",0.15,D
1,TEL,WETH,1.135549747e-06,346885.0,0.603067,green,Uniswap V3 (Ethereum),telcoin,weth,TEL/WETH,"$346,885",0.15,D
1,LQTY,WETH,0.0002010855779,330900.0,0.602835,green,Uniswap V3 (Ethereum),liquity,weth,LQTY/WETH,"$330,900",0.14,D
1,0X6B0B3A...,WETH,1.667317445e-06,336400.0,0.603804,green,Uniswap V3 (Ethereum),alethea-artificial-liquid-intelligence-token,weth,0X6B0B3A.../WETH,"$336,400",0.14,D
1,chex,WETH,3.383764307e-05,310631.0,0.602806,green,Uniswap V3 (Ethereum),chex-token,weth,chex/WETH,"$310,631",0.13,D
1,AAVE,LINK,13.2374672378,316998.0,0.602823,green,Uniswap V3 (Ethereum),aave,chainlink,AAVE/LINK,"$316,998",0.13,D
1,0X9E32B1...,WETH,0.003830437665,302061.0,0.602908,green,Uniswap V3 (Ethereum),metis-token,weth,0X9E32B1.../WETH,"$302,061",0.13,D
1,ogn,OETH,1.567155208e-05,296669.0,0.602828,green,Uniswap V3 (Ethereum),origin-protocol,origin-ether,ogn/OETH,"$296,669",0.12,D
1,ZCHF,USDT,1.2430855692,279999.0,0.603049,green,Uniswap V3 (Ethereum),frankencoin,tether,ZCHF/USDT,"$279,999",0.12,D
1,INJ,WETH,0.00308179136,291841.0,0.602983,green,Uniswap V3 (Ethereum),injective-protocol,weth,INJ/WETH,"$291,841",0.12,D
1,0X037A54...,WETH,3.333946384e-05,291922.0,0.603407,green,Uniswap V3 (Ethereum),lcx,weth,0X037A54.../WETH,"$291,922",0.12,D
1,rETH,WETH,1.1377823079,291108.0,0.603657,green,Uniswap V3 (Ethereum),rocket-pool-eth,weth,rETH/WETH,"$291,108",0.12,D
1,SOLX,WETH,7.730379724e-08,267636.0,0.603005,green,Uniswap V3 (Ethereum),solaxy,weth,SOLX/WETH,"$267,636",0.11,D
1,RESOLV,USR,0.1610466753,272127.0,0.603288,green,Uniswap V3 (Ethereum),resolv,resolv-usr,RESOLV/USR,"$272,127",0.11,D
1,meme,WETH,8.562150933e-07,275046.0,0.604539,green,Uniswap V3 (Ethereum),memecoin-2,weth,meme/WETH,"$275,046",0.12,D
1,WCM,WETH,1.511587344e-07,269926.0,0.605516,green,Uniswap V3 (Ethereum),world-computer-money,weth,WCM/WETH,"$269,926",0.11,D
1,RLB,USDT,0.05921445025,248294.0,0.602894,green,Uniswap V3 (Ethereum),rollbit-coin,tether,RLB/USDT,"$248,294",0.1,D
1,RSR,WETH,1.822634772e-06,262866.0,0.603125,green,Uniswap V3 (Ethereum),reserve-rights-token,weth,RSR/WETH,"$262,866",0.11,D
1,hunt,WETH,5.642253456e-05,238921.0,0.602809,green,Uniswap V3 (Ethereum),hunt-token,weth,hunt/WETH,"$238,921",0.1,D
1,PEAS,DAI,4.9206681525,233903.0,0.602873,green,Uniswap V3 (Ethereum),peapods-finance,dai,PEAS/DAI,"$233,903",0.1,D
1,USUAL,WETH,1.543335429e-05,253786.0,0.603418,green,Uniswap V3 (Ethereum),usual,weth,USUAL/WETH,"$253,786",0.11,D
1,INSP,USDT,0.03628921449,246227.0,0.603573,green,Uniswap V3 (Ethereum),inspect,tether,INSP/USDT,"$246,227",0.1,D
1,RLB,USDC,0.05918319655,228588.0,0.602942,green,Uniswap V3 (Ethereum),rollbit-coin,usd-coin,RLB/USDC,"$228,588",0.1,D
1,USR,USDC,0.9997955977,231943.0,0.606689,green,Uniswap V3 (Ethereum),resolv-usr,usd-coin,USR/USDC,"$231,943",0.1,D
1,swETH,WETH,1.080454355,222128.0,0.603118,green,Uniswap V3 (Ethereum),sweth,weth,swETH/WETH,"$222,128",0.09,D
1,NEURON,WETH,7.539985077e-08,208504.0,0.603148,green,Uniswap V3 (Ethereum),cerebrum-dao,weth,NEURON/WETH,"$208,504",0.09,D
1,0XACD2C2...,WETH,1.099529633e-05,212536.0,0.606316,green,Uniswap V3 (Ethereum),karrat,weth,0XACD2C2.../WETH,"$212,536",0.09,D
1,0X00C83A...,WETH,7.349141977e-06,198870.0,0.603191,green,Uniswap V3 (Ethereum),skale,weth,0X00C83A.../WETH,"$198,870",0.08,D
1,POL,WETH,5.252823594e-05,189239.0,0.603738,green,Uniswap V3 (Ethereum),polygon-ecosystem-token,weth,POL/WETH,"$189,239",0.08,D
1,TORN,WETH,0.002654249377,184614.0,0.60342,green,Uniswap V3 (Ethereum),tornado-cash,weth,TORN/WETH,"$184,614",0.08,D
1,APE,USDC,0.6263436221,176041.0,0.604057,green,Uniswap V3 (Ethereum),apecoin,usd-coin,APE/USDC,"$176,041",0.07,D
1,0XE41D24...,WETH,5.574342971e-05,168402.0,0.603102,green,Uniswap V3 (Ethereum),0x,weth,0XE41D24.../WETH,"$168,402",0.07,D
1,wQUIL,WETH,9.105656269e-06,162842.0,0.602931,green,Uniswap V3 (Ethereum),wrapped-quil,weth,wQUIL/WETH,"$162,842",0.07,D
1,CPOOL,WETH,4.128030641e-05,171094.0,0.605392,green,Uniswap V3 (Ethereum),clearpool,weth,CPOOL/WETH,"$171,094",0.07,D
1,AXGT,WETH,1.284324064e-05,158396.0,0.603114,green,Uniswap V3 (Ethereum),axondao-governance-token,weth,AXGT/WETH,"$158,396",0.07,D
1,0X8E7291...,WETH,4.493241537e-05,163423.0,0.603533,green,Uniswap V3 (Ethereum),alvara-protocol,weth,0X8E7291.../WETH,"$163,423",0.07,D
1,basedAI,WETH,7.699535052e-05,156956.0,0.603243,green,Uniswap V3 (Ethereum),basedai,weth,basedAI/WETH,"$156,956",0.07,D
