address,symbol,decimals,price
0xb58e61c3098d85632df34eecfb899a1ed80921cb,ZCHF,18,1.24470998
0x96a5399d07896f757bd4c6ef56461f58db951862,DRAGONX,18,2.18e-06
0xbe042e9d09cb588331ff911c2b46fd833a3e5bd6,PEPE,18,0.00046848
0xd86830e9c56785e2b703eb0029ae71a943e4d442,KOBUSHI,9,3.21658e-07
0xf94e7d0710709388bce3161c32b4eea56d3f91cc,DSync,18,0.109578
0x41e5560054824ea6b0732e656e3ad64e20e94e45,cvc,8,0.087566
0x2a897de60073e13c1f34f672033c1c1d08657fbb,DAWAE,9,0.00012053
0x57b96d4af698605563a4653d882635da59bf11af,RCH,18,0.274645
0x6d614686550b9e1c1df4b2cd8f91c9d4df66c810,SKEB,18,0.00035181
0xc2544a32872a91f4a553b404c6950e89de901fdb,FPIS,18,0.563814
0x9e46a38f5daabe8683e10793b06749eef7d733d1,NCT,18,0.02149206
0xd46ba6d942050d489dbd938a2c909a5d5039a161,AMPL,9,1.25
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,cro,8,0.26232
0x8eef5a82e6aa222a60f009ac18c24ee12dbf4b41,TXL,18,9.457e-05
0x32353a6c91143bfd6c7d363b546e62a9a2489a20,agld,18,0.660849
0xfd36fa88bb3fea8d1264fc89d70723b6a2b56958,wXTM,18,0.00373061
0xe76c6c83af64e4c60245d8c7de953df673a7a33d,RAIL,18,0.961039
0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ILV,18,13.5
0x8248270620aa532e4d64316017be5e873e37cc09,DEVVE,18,0.464217
0xdfc5964141c018485b4d017634660f85aa667714,ODIN,18,0.0070626
0x423f4e6138e475d85cf7ea071ac92097ed631eea,PNDC,18,1.06391e-07
0x0b9ae6b1d4f0eeed904d1cef68b9bd47499f3fff,NATI,18,5.52178e-07
0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549,LsETH,18,4638.39
0x85f138bfee4ef8e540890cfb48f620571d67eda3,WAVAX,18,24.91
0x772358ef6ed3e18bde1263f7d229601c5fa81875,SNPAD,18,0.0140645
0x2602278ee1882889b946eb11dc0e810075650983,VADER,18,1.095e-05
0xd199e23e2396b4ad8734b7321ca0d435a97017a0,TRENCH,18,0.238712
0x3b50805453023a91a8bf641e279401a0b23fa6f9,REZ,18,0.01111525
0x55296f69f40ea6d20e478533c15a6b08b654e758,XYO,18,0.00968425
0xe868084cf08f3c3db11f4b73a95473762d9463f7,YU,18,0.999769
0xc61edb127f58f42f47a8be8aebe83cf602a53878,COBE,18,0.01293467
0xab846fb6c81370327e784ae7cbb6d6a6af6ff4bf,PAL,18,0.068456
0x77fba179c79de5b7653f68b5039af940ada60ce0,FORTH,18,2.71
0xb3999f658c0391d94a37f7ff328f3fec942bcadc,hft,18,0.097917
0x24a6a37576377f63f194caa5f518a60f45b42921,BANK,18,0.564605
0x615987d46003cc37387dbe544ff4f16fa1200077,NASDAQ420,9,0.00400373
0x6b7774cb12ed7573a7586e7d0e62a2a563ddd3f0,SOPH,18,0.02912943
0xa95c5ebb86e0de73b4fb8c47a45b792cfea28c23,SDL,18,0.952048
0x9669890e48f330acd88b78d63e1a6b3482652cd9,BCNT,18,0.00108416
0xc353bf07405304aeab75f4c2fac7e88d6a68f98e,HOPE,18,0.560264
0xf3b9569f82b18aef890de263b84189bd33ebe452,CAW,18,5.6955e-08
0xe66b3aa360bb78468c00bebe163630269db3324f,MTO,18,0.03663871
0x9f9c8ec3534c3ce16f928381372bfbfbfb9f4d24,GLQ,18,0.01619591
0x99999999999999cc837c997b882957dafdcb1af9,WUSDN,18,1.11
