page,base,target,last_price,volume_usd,bid_ask_spread,trust_score,market,coin_id,target_coin_id
1,0X3C3A81E81DC49A522A592E7622A7E711C06BF354,0X4C9EDD5852CD905F086C759E8383E09BFF1E68B3,1.2662318844,1393167.0,0.602792,green,Uniswap V3 (Ethereum),mantle,ethena-usde
1,0XFABA6F8E4A5E8AB82F62FE7C39859FA577269BE3,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.0002130701464,1340168.0,0.602789,green,Uniswap V3 (Ethereum),ondo-finance,weth
1,0X28D38DF637DB75533BD3F71426F3410A82041544,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.1741835322,1267771.0,0.602979,green,Uniswap V3 (Ethereum),wayfinder,usd-coin
1,0X514910771AF9CA656AF840DFF83E8264ECF986CA,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,25.7005522076,1140521.0,0.603363,green,Uniswap V3 (Ethereum),chainlink,usd-coin
1,0X163F8C2467924BE0AE7B5347228CABF260318753,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.0002162559434,990937.0,0.602752,green,Uniswap V3 (Ethereum),worldcoin-wld,weth
1,0X808507121B80C02388FAD14726482E061B8DA827,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.001230102472,1054542.0,0.602837,green,Uniswap V3 (Ethereum),pendle,weth
1,0XA35B1B31CE002FBF2058D22F30F95D405200A15B,0X7F39C581F595B53C5CB19BD0B3F8DA6C935E2CA0,0.8810241826,927102.0,0.60288,green,Uniswap V3 (Ethereum),stader-ethx,wrapped-steth
1,0X0F81001EF0A83ECCE5CCEBF63EB302C70A39A654,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.2215123366,961649.0,0.603005,green,Uniswap V3 (Ethereum),dolomite,usd-coin
1,0X8292BB45BF1EE4D140127049757C2E0FF06317ED,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.999851116,941748.0,0.602834,green,Uniswap V3 (Ethereum),ripple-usd,usd-coin
1,0XD533A949740BB3306D119CC777FA900BA034CD52,0XDAC17F958D2EE523A2206206994597C13D831EC7,0.8940230198,938760.0,0.603018,green,Uniswap V3 (Ethereum),curve-dao-token,tether
1,0X5FA487BCA6158C64046B2813623E20755091DA0B,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1.0020656218,852550.0,0.603356,green,Uniswap V3 (Ethereum),theo-short-duration-us-treasury-fund,usd-coin
1,0XC18360217D8F7AB5E7C516566761EA12CE7F9D72,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.00569250605,811434.0,0.602782,green,Uniswap V3 (Ethereum),ethereum-name-service,weth
1,0X6C3EA9036406852006290770BEDFCABA0E23A0E8,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.9996860833,818686.0,0.60378,green,Uniswap V3 (Ethereum),paypal-usd,usd-coin
1,0X40D16FC0246AD3160CCC09B8D0D3A2CD28AE6C2F,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.9985902072,769338.0,0.603292,green,Uniswap V3 (Ethereum),gho,usd-coin
1,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0XC20059E0317DE91738D13AF027DFC4A50781B066,13.9654552827,759605.0,0.603001,green,Uniswap V3 (Ethereum),usd-coin,spark-2
1,0X56072C95FAA701256059AA122697B133ADED9279,0X9F8F72AA9304C8B593D555F12EF6589CC3A579A2,4.16712664e-05,762810.0,0.603839,green,Uniswap V3 (Ethereum),sky,maker
1,0X9CE115F0341AE5DABC8B477B74E83DB2018A6F42,0XCB1592591996765EC0EFC1F92599A19767EE5FFA,403.7468406674,705914.0,0.602874,green,Uniswap V3 (Ethereum),hairdao,bio-protocol
1,0X39D5313C3750140E5042887413BA8AA6145A9BD2,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.02412132329,687271.0,0.602886,green,Uniswap V3 (Ethereum),empyreal,weth
1,0X1F9840A85D5AF5BF1D1762F925BDADDC4201F984,0XDAC17F958D2EE523A2206206994597C13D831EC7,11.1403279769,659538.0,0.602804,green,Uniswap V3 (Ethereum),uniswap,tether
1,0XE6829D9A7EE3040E1276FA75293BDE931859E8FA,0XD5F7838F5C461FEFF7FE49EA5EBAF7728BB0ADFA,0.9996766685,638072.0,0.602794,green,Uniswap V3 (Ethereum),mantle-restaked-eth,mantle-staked-ether
1,0XE0F63A424A4439CBE457D80E4F4B51AD25B2C56C,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.0003021627429,635767.0,0.60294,green,Uniswap V3 (Ethereum),spx6900,weth
1,0X68749665FF8D2D112FA859AA293F07A622782F38,0XDAC17F958D2EE523A2206206994597C13D831EC7,3372.9473505801,610297.0,0.602855,green,Uniswap V3 (Ethereum),tether-gold,tether
1,0X81F8F0BB1CB2A06649E51913A151F0E7EF6FA321,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.0004296330721,622136.0,0.60325,green,Uniswap V3 (Ethereum),vitadao,weth
1,0X66761FA41377003622AEE3C7675FC7B5C1C2FAC5,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.1944662911,613569.0,0.603439,green,Uniswap V3 (Ethereum),clearpool,usd-coin
1,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0XB528EDBEF013AFF855AC3C50B381F253AF13B997,9.7745665709,574759.0,0.602915,green,Uniswap V3 (Ethereum),usd-coin,aevo-exchange
1,0XD9FCD98C322942075A5C3860693E9F4F03AAE07B,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.002235865329,529739.0,0.602751,green,Uniswap V3 (Ethereum),euler,weth
1,0X81F8F0BB1CB2A06649E51913A151F0E7EF6FA321,0XCB1592591996765EC0EFC1F92599A19767EE5FFA,8.7581290197,515020.0,0.602891,green,Uniswap V3 (Ethereum),vitadao,bio-protocol
1,0X046EEE2CC3188071C02BFC1745A6B17C656E3F3D,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.25939142e-05,516512.0,0.602937,green,Uniswap V3 (Ethereum),rollbit-coin,weth
1,0X9CE115F0341AE5DABC8B477B74E83DB2018A6F42,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.02053495962,510997.0,0.602999,green,Uniswap V3 (Ethereum),hairdao,weth
1,0X68749665FF8D2D112FA859AA293F07A622782F38,0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,0.02908367287,457704.0,0.602773,green,Uniswap V3 (Ethereum),tether-gold,wrapped-bitcoin
1,0X6C3EA9036406852006290770BEDFCABA0E23A0E8,0XDAC17F958D2EE523A2206206994597C13D831EC7,0.9999684537,469364.0,0.611944,green,Uniswap V3 (Ethereum),paypal-usd,tether
1,0X40E3D1A4B2C47D9AA61261F5606136EF73E28042,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.760875292e-05,330449.0,0.602792,green,Uniswap V3 (Ethereum),openserv,weth
1,0X14778860E937F509E651192A90589DE711FB88A9,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,2.3065480209,375434.0,0.604179,green,Uniswap V3 (Ethereum),cyberconnect,usd-coin
1,0X4A220E6096B25EADB88358CB44068A3248254675,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.02309037817,364190.0,0.603136,green,Uniswap V3 (Ethereum),quant-network,weth
1,0X1F9840A85D5AF5BF1D1762F925BDADDC4201F984,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,11.1390696221,354081.0,0.603448,green,Uniswap V3 (Ethereum),uniswap,usd-coin
1,0X467BCCD9D29F223BCE8043B84E8C8B282827790F,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.135549747e-06,346885.0,0.603067,green,Uniswap V3 (Ethereum),telcoin,weth
1,0X6DEA81C8171D0BA574754EF6F8B412F2ED88C54D,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.0002010855779,330900.0,0.602835,green,Uniswap V3 (Ethereum),liquity,weth
1,0X6B0B3A982B4634AC68DD83A4DBF02311CE324181,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.667317445e-06,336400.0,0.603804,green,Uniswap V3 (Ethereum),alethea-artificial-liquid-intelligence-token,weth
1,0X9CE84F6A69986A83D92C324DF10BC8E64771030F,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,3.383764307e-05,310631.0,0.602806,green,Uniswap V3 (Ethereum),chex-token,weth
1,0X7FC66500C84A76AD7E9C93437BFC5AC33E2DDAE9,0X514910771AF9CA656AF840DFF83E8264ECF986CA,13.2374672378,316998.0,0.602823,green,Uniswap V3 (Ethereum),aave,chainlink
1,0X9E32B13CE7F2E80A01932B42553652E053D6ED8E,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.003830437665,302061.0,0.602908,green,Uniswap V3 (Ethereum),metis-token,weth
1,0X8207C1FFC5B6804F6024322CCF34F29C3541AE26,0X856C4EFB76C1D1AE02E20CEB03A2A6A08B0B8DC3,1.567155208e-05,296669.0,0.602828,green,Uniswap V3 (Ethereum),origin-protocol,origin-ether
1,0XB58E61C3098D85632DF34EECFB899A1ED80921CB,0XDAC17F958D2EE523A2206206994597C13D831EC7,1.2430855692,279999.0,0.603049,green,Uniswap V3 (Ethereum),frankencoin,tether
1,0XE28B3B32B6C345A34FF64674606124DD5ACECA30,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.00308179136,291841.0,0.602983,green,Uniswap V3 (Ethereum),injective-protocol,weth
1,0X037A54AAB062628C9BBAE1FDB1583C195585FE41,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,3.333946384e-05,291922.0,0.603407,green,Uniswap V3 (Ethereum),lcx,weth
1,0XAE78736CD615F374D3085123A210448E74FC6393,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.1377823079,291108.0,0.603657,green,Uniswap V3 (Ethereum),rocket-pool-eth,weth
1,0XE0B7AD7F8F26E2B00C8B47B5DF370F15F90FCF48,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,7.730379724e-08,267636.0,0.603005,green,Uniswap V3 (Ethereum),solaxy,weth
1,0X259338656198EC7A76C729514D3CB45DFBF768A1,0X66A1E37C9B0EADDCA17D3662D6C05F4DECF3E110,0.1610466753,272127.0,0.603288,green,Uniswap V3 (Ethereum),resolv,resolv-usr
1,0XB131F4A55907B10D1F0A50D8AB8FA09EC342CD74,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,8.562150933e-07,275046.0,0.604539,green,Uniswap V3 (Ethereum),memecoin-2,weth
1,0X692353F0BEBB3E53301B626EDB10EEE6040B45FE,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.511587344e-07,269926.0,0.605516,green,Uniswap V3 (Ethereum),world-computer-money,weth
1,0X046EEE2CC3188071C02BFC1745A6B17C656E3F3D,0XDAC17F958D2EE523A2206206994597C13D831EC7,0.05921445025,248294.0,0.602894,green,Uniswap V3 (Ethereum),rollbit-coin,tether
1,0X320623B8E4FF03373931769A31FC52A4E78B5D70,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.822634772e-06,262866.0,0.603125,green,Uniswap V3 (Ethereum),reserve-rights-token,weth
1,0X9AAB071B4129B083B01CB5A0CB513CE7ECA26FA5,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,5.642253456e-05,238921.0,0.602809,green,Uniswap V3 (Ethereum),hunt-token,weth
1,0X02F92800F57BCD74066F5709F1DAA1A4302DF875,0X6B175474E89094C44DA98B954EEDEAC495271D0F,4.9206681525,233903.0,0.602873,green,Uniswap V3 (Ethereum),peapods-finance,dai
1,0XC4441C2BE5D8FA8126822B9929CA0B81EA0DE38E,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.543335429e-05,253786.0,0.603418,green,Uniswap V3 (Ethereum),usual,weth
1,0X186EF81FD8E77EEC8BFFC3039E7EC41D5FC0B457,0XDAC17F958D2EE523A2206206994597C13D831EC7,0.03628921449,246227.0,0.603573,green,Uniswap V3 (Ethereum),inspect,tether
1,0X046EEE2CC3188071C02BFC1745A6B17C656E3F3D,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.05918319655,228588.0,0.602942,green,Uniswap V3 (Ethereum),rollbit-coin,usd-coin
1,0X66A1E37C9B0EADDCA17D3662D6C05F4DECF3E110,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.9997955977,231943.0,0.606689,green,Uniswap V3 (Ethereum),resolv-usr,usd-coin
1,0XF951E335AFB289353DC249E82926178EAC7DED78,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.080454355,222128.0,0.603118,green,Uniswap V3 (Ethereum),sweth,weth
1,0XAB814CE69E15F6B9660A3B184C0B0C97B9394A6B,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,7.539985077e-08,208504.0,0.603148,green,Uniswap V3 (Ethereum),cerebrum-dao,weth
1,0XACD2C239012D17BEB128B0944D49015104113650,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,1.099529633e-05,212536.0,0.606316,green,Uniswap V3 (Ethereum),karrat,weth
1,0X00C83AECC790E8A4453E5DD3B0B4B3680501A7A7,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,7.349141977e-06,198870.0,0.603191,green,Uniswap V3 (Ethereum),skale,weth
1,0X455E53CBB86018AC2B8092FDCD39D8444AFFC3F6,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,5.252823594e-05,189239.0,0.603738,green,Uniswap V3 (Ethereum),polygon-ecosystem-token,weth
1,0X77777FEDDDDFFC19FF86DB637967013E6C6A116C,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.002654249377,184614.0,0.60342,green,Uniswap V3 (Ethereum),tornado-cash,weth
1,0X4D224452801ACED8B2F0AEBE155379BB5D594381,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.6263436221,176041.0,0.604057,green,Uniswap V3 (Ethereum),apecoin,usd-coin
1,0XE41D2489571D322189246DAFA5EBDE1F4699F498,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,5.574342971e-05,168402.0,0.603102,green,Uniswap V3 (Ethereum),0x,weth
1,0X8143182A775C54578C8B7B3EF77982498866945D,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,9.105656269e-06,162842.0,0.602931,green,Uniswap V3 (Ethereum),wrapped-quil,weth
